region	farm number	sample no.	sample date	opening pods date	Cut white beans 	drying start date	drying end date	moisture	awb number	date shipped	Result flavanols (%)	Results Cadmium deshelled beans (mg/kg)	Results Lead deshelled beans (mg/kg)	Results Lead shells (mg/kg)	Cadmium soil (mg/kg)	Soil ph	Violet	Slaty	Other
A	1.0	A.1.1	2016-07-15	2016-07-17		2016-07-19	2016-07-20		6575638134.0	2016-07-21	7.38	4.0	0.04	0.13					
A	1.0	A.1.2	2016-08-03	2016-08-05		2016-08-05	2016-08-08	6.2	4071273360.0	2016-08-16	7.35	5.8	0.02	0.46	0.1	6.47	31.0	0.0	19.0
A	1.0	A.1.3	2016-09-05	2016-09-06		2016-09-06	2016-09-08	7.5	4089568943.0	2016-10-03	6.7	4.7			0.14	6.91	32.0	0.0	18.0
A	1.0	A.1.4	2016-09-26	2016-09-27		2016-09-27	2016-09-29	7.0	2261972742.0	2016-10-11	6.2	4.7					45.0	0.0	5.0
A	1.0	A.1.5	2016-11-16	2016-11-17		2016-11-17	2016-11-21	6.5	1917178631.0	2016-11-24	7.12	11.9							
A	1.0	A.1.6	2016-12-13	2016-12-14		2016-12-14	2016-12-15	8.0	9239998445.0	2016-12-23	7.0	6.9			0.07	6.76			
A	1.0	A.1.7	2017-02-01	2017-02-02		2017-02-02	2017-02-07	7.5	3208655100.0	2017-02-20	8.0	6.2							
A	3.0	A.3.1	2016-07-17	2016-07-19		2016-07-19	2016-07-20		6575638134.0	2016-07-21	7.72	2.01	0.06	0.08					
A	3.0	A.3.2	2016-08-03	2016-08-05		2016-08-05	2016-08-08	6.2	4071273360.0	2016-08-16	7.15	2.4	0.02	0.43	0.16	7.25	30.0	0.0	20.0
A	3.0	A.3.3	2016-09-05	2016-09-06		2016-09-06	2016-09-08	7.5	4071520055.0	2016-09-21	8.11	1.2					41.0	0.0	9.0
A	3.0	A.3.4	2016-09-21	2016-09-22		2016-09-22	2016-09-26	7.0	2653222051.0	2016-09-28	6.1	2.6			0.072	7.38	25.0	0.0	25.0
A	3.0	A.3.5	2016-10-31	2016-11-01		2016-11-01	2016-11-07	6.0	3048134471.0	2016-11-09	6.5	3.0							
A	3.0	A.3.6	2016-12-12	2016-12-13		2016-12-13	2016-12-15	6.5	3358900134.0	2016-12-30	7.7	3.12			0.07	7.27			
A	3.0	A.3.7	2017-01-04	2017-01-05		2017-01-05	2017-01-09	6.6	3794649563.0	2017-01-20	8.2	2.3							
A	3.0	A.3.8	2017-01-31	2017-02-01		2017-02-01	2017-02-06	7.4	6868917801.0	2017-02-15	8.5	2.2							
A	3.0	A.3.9	2017-03-20	2017-03-22		2017-03-22	2017-03-27	8.0	4089034810.0	2017-03-31	6.3	2.2							
A	3.0	A.3.10	2017-04-12	2017-04-12		2017-04-12	2017-04-18	7.4	1646858861.0	2017-04-21	7.2	1.1							
A	3.0	A.3.11	2017-04-19	2017-04-20		2017-04-20	2017-04-25	6.2	6014077086.0	2017-05-05	6.1	1.3							
A	5.0	A.5.1	2016-07-15	2016-07-17		2016-07-19	2016-07-20		6575638134.0	2016-07-21	7.86	0.29	0.04	0.1					
A	5.0	A.5.2	2016-08-03	2016-08-05		2016-08-05	2016-08-08	6.7	4071273360.0	2016-08-16	5.97	0.36	0.02	0.28	0.02	6.66	24.0	0.0	26.0
A	5.0	A.5.3	2016-09-05	2016-09-06		2016-09-06	2016-09-08	7.0	4071520051.0	2016-09-21	5.7	0.18					22.0	0.0	28.0
A	5.0	A.5.4	2016-09-21	2016-09-22		2016-09-22	2016-09-26	8.0	4089568943.0	2016-10-03	7.2	0.38			0.079	6.19	23.0	0.0	27.0
A	5.0	A.5.5	2016-10-31	2016-11-01		2016-11-01	2016-11-07	6.0	3048134471.0	2016-11-09	6.4	0.36							
A	5.0	A.5.6	2016-12-12	2016-12-13		2016-12-13	2016-12-15	8.0	3358900134.0	2016-12-30	8.41	0.379			0.12	5.75			
A	5.0	A.5.7	2017-01-04	2017-01-05		2017-01-05	2017-01-09	6.5	3794649563.0	2017-01-20	8.3	0.67							
A	5.0	A.5.8	2017-01-31	2017-02-01		2017-02-01	2017-02-06	6.5	6868917801.0	2017-02-15	8.01	0.57							
A	5.0	A.5.9	2017-03-01	2017-03-02		2017-03-02	2017-03-06	8.0	5483672482.0	2017-03-10	7.6	0.5							
A	5.0	A.5.10	2017-03-09	2017-03-10		2017-03-10	2017-03-14	7.0	7570715110.0	2017-03-17	8.1	0.47							
A	5.0	A.5.11	2017-03-15	2017-03-16		2017-03-16	2017-03-21	8.0	6661436143.0	2017-03-24	7.79	0.38							
A	5.0	A.5.12	2017-03-22	2017-03-22		2017-03-22	2017-03-27	7.8	4089034810.0	2017-03-31	7.6	0.38							
A	5.0	A.5.13	2017-03-29	2017-03-29		2017-03-20	2017-04-03	7.5	4089202681.0	2017-04-07	8.29	0.38							
A	5.0	A.5.14	2017-04-06	2017-04-07		2017-04-07	2017-04-11	7.5	4648462092.0	2017-04-13	4.7	0.3							
A	5.0	A.5.15	2017-04-12	2017-04-12		2017-04-12	2017-04-18	8.0	1646858861.0	2017-04-21	7.5	0.33							
A	5.0	A.5.16	2017-04-19	2017-04-20		2017-04-20	2017-04-25	7.8	6014077086.0	2017-05-05	7.11	0.21							
A	7.0	A.7.1	2016-07-11	2016-07-13	0.0	2016-07-13	2016-07-14	7.5	2014222910.0	2016-07-21	5.06	0.43	0.02	2.7	0.07		10.0	0.0	40.0
A	7.0	A.7.2	2016-08-16	2016-08-17		2016-08-18	2016-08-19	6.5	4071339392.0	2016-08-25	7.66	0.12	0.02	0.27			36.0	0.0	14.0
A	7.0	A.7.3	2016-09-12	2016-09-13		2016-09-13	2016-09-15	7.0	4071520051.0	2016-09-21	6.89	0.26							
A	7.0	A.7.4	2016-10-13	2016-10-14		2016-10-14	2016-10-17	6.8	2891297791.0	2016-10-21	7.59	0.27							
A	7.0	A.7.5	2016-11-29	2016-11-30		2016-11-30	2016-12-01	7.8	4914911142.0	2016-12-07	7.2	0.3							
A	7.0	A.7.6	2016-12-14	2016-12-15		2016-12-15	2016-12-19	6.5	3358900134.0	2016-12-30	7.6	0.59			0.08	6.43			
A	7.0	A.7.7	2017-01-09	2017-01-10		2017-01-10	2017-01-13	6.9	4065172263.0	2017-01-30	8.8	0.28							
A	7.0	A.7.8	2017-01-26	2017-01-27		2017-01-27	2017-01-31	8.0	6868917801.0	2017-02-15	9.0	0.23							
A	7.0	A.7.9	2017-03-01	2017-03-02		2017-03-02	2017-03-06	8.0	5483672482.0	2017-03-10	8.3	0.28							
A	7.0	A.7.10	2017-03-16	2017-03-17		2017-03-17	2017-03-22	8.0	6661436143.0	2017-03-24	7.8	0.43							
A	7.0	A.7.12	2017-03-30	2017-03-31		2017-03-31	2017-04-05	8.0	1646858861.0	2017-04-21	7.6	0.23							
A	7.0	A.7.11	2017-04-12	2017-04-12		2017-04-12	2017-04-18	7.4	1646858861.0	2017-04-21	6.9	0.43							
A	9.0	A.9.1	2016-07-11	2016-07-13	0.0	2016-07-13	2016-07-15	7.5	2014222910.0	2016-07-21	5.24	0.26	0.02	0.02	0.03				
A	9.0	A.9.2	2016-08-08	2016-08-09		2016-08-09	2016-08-11	6.8	4071273360.0	2016-08-16	7.45	0.4	0.02	0.46					
A	9.0	A.9.3	2016-10-06	2016-10-07		2016-10-07	2016-10-11	8.0	9237179092.0	2016-10-18	7.81	0.37			0.13	6.3			
A	9.0	A.9.4	2016-11-16	2016-11-17		2016-11-17	2016-11-21	6.6	1917178631.0	2016-11-24	7.2	0.32							
A	9.0	A.9.5	2016-12-14	2016-12-14		2016-12-14	2016-12-15	6.8	3358900134.0	2016-12-30	7.91	0.95							
A	9.0	A.9.6	2017-01-09	2017-01-10		2017-01-10	2017-01-13	7.0	4065172263.0	2017-01-30	8.0	0.29							
A	11.0	A.11.1	2016-07-11	2016-07-13	0.0	2016-07-13	2016-07-15	7.0	2014222910.0	2016-07-21	4.16	0.39	0.02	3.5	0.03				
A	11.0	A.11.2	2016-08-17	2016-08-17		2016-08-18	2016-08-19	6.5	4071339392.0	2016-08-25	6.59	0.36	0.02	0.27					
A	13.0	A.13.1	2016-07-12	2016-07-14	0.0	2016-07-14	2016-07-16		2014222910.0	2016-07-21	4.74	0.25	0.02	1.1	0.02				
A	13.0	A.13.2	2016-08-18	2016-08-18		2016-08-19	2016-08-19	7.0	4071339392.0	2016-08-25	6.65	0.34	0.02	0.21					
A	13.0	A.13.3	2016-09-12	2016-09-13		2016-09-13	2016-09-15	6.6	4071520051.0	2016-09-21	5.01	0.25							
A	13.0	A.13.4	2016-10-13	2016-10-14		2016-10-14	2016-10-17	6.5	2891297791.0	2016-10-21	5.5	0.3			0.087	6.49			
A	13.0	A.13.5	2016-12-13	2016-12-14		2016-12-14	2016-12-15	7.4	9239998445.0	2016-12-23	7.4	0.36			0.17	6.39			
A	13.0	A.13.6	2017-01-09	2017-01-10		2017-01-10	2017-01-13	7.0	4065172263.0	2017-01-30	8.701	0.3							
A	13.0	A.13.7	2017-02-06	2017-02-07		2017-02-07	2017-02-10	7.0	2493072175.0	2017-02-22	8.1	0.31							
A	13.0	A.13.8	2017-03-02	2017-03-03		2017-03-03	2017-03-08	7.5	5483672482.0	2017-03-10	7.5	0.22							
A	13.0	A.13.9	2017-03-16	2017-03-17		2017-03-17	2017-03-22	6.5	6661436143.0	2017-03-24	5.7	0.261							
A	15.0	A.15.1	2016-07-12	2016-07-14	0.0	2016-07-14	2016-07-22	6.8	2014215210.0	2016-07-28	5.38	0.57	0.03	0.99	0.01				
A	15.0	A.15.2	2016-08-18	2016-08-18		2016-08-19	2016-08-19	7.0	4071339392.0	2016-08-25	6.91	0.46	0.02	0.13					
A	15.0	A.15.3	2016-09-12	2016-09-13		2016-09-13	2016-09-15	6.5	4071520051.0	2016-09-21	5.1	0.64							
A	17.0	A.17.1	2016-07-12	2016-07-14	0.0	2016-07-14	2016-07-20	7.5	2014222910.0	2016-07-21	5.88	2.8	0.02	3.1	0.08				
A	17.0	A.17.2	2016-08-09	2016-08-09		2016-08-09	2016-08-11	6.5	4071273360.0	2016-08-16	6.96	2.1	0.02	0.32					
A	17.0	A.17.3	2016-09-14	2016-09-15		2016-09-15	2016-09-19	7.0	4071520051.0	2016-09-21	6.31	3.0							
A	17.0	A.17.4	2016-10-19	2016-10-20		2016-10-20	2016-10-24	6.0	5551207200.0	2016-10-28	7.71	2.3			0.079	6.08			
A	17.0	A.17.5	2016-11-16	2016-11-17		2016-11-17	2016-11-21	7.6	1917178631.0	2016-11-24	8.21	2.9							
A	17.0	A.17.6	2016-12-14	2016-12-15		2016-12-15	2016-12-19	6.0	3358900134.0	2016-12-30	8.0	3.1			0.15	6.27			
A	21.0	A.21.1	2016-12-07	2016-07-14	0.0	2016-07-14	2016-07-22	6.1	2014215210.0	2016-07-28	3.59	1.7	0.04	2.61	0.07				
A	23.0	A.23.1	2016-07-15	2016-07-15	0.0	2016-07-18	2016-07-20	6.5	2014215210.0	2016-07-28	6.74	0.64	0.03	0.91	0.1	7.14			
A	23.0	A.23.2	2016-08-16	2016-08-17		2016-08-18	2016-08-19	6.5	4071339392.0	2016-08-25	7.92	3.0	0.02	0.22					
A	23.0	A.23.3	2016-09-05	2016-09-06		2016-09-06	2016-09-08	7.5	4071520051.0	2016-09-21	6.3	3.2			0.05	6.42			
A	23.0	A.23.4	2016-09-22	2016-09-23		2016-09-23	2016-09-26	7.5	4089568943.0	2016-10-03	7.81	2.4							
A	23.0	A.23.5	2016-11-15	2016-11-16		2016-11-16	2016-11-18	7.2	1917178631.0	2016-11-24	8.1	1.4							
A	23.0	A.23.6	2016-12-12	2016-12-13		2016-12-13	2016-12-15	7.5	3358900134.0	2016-12-30	8.4	2.8			0.08	6.13			
A	23.0	A.23.7	2017-01-04	2017-01-05		2017-01-05	2017-01-09	7.0	3794649563.0	2017-01-20	8.5	1.3							
A	23.0	A.23.8	2017-01-31	2017-02-01		2017-02-01	2017-02-06	6.4	6868917801.0	2017-02-15	8.001	1.4							
A	23.0	A.23.9	2017-03-20	2017-03-22		2017-03-22	2017-03-27	7.2	4089034810.0	2017-03-31	7.4	1.9							
A	23.0	A.23.10	2017-04-12	2017-04-12		2017-04-12	2017-04-18	8.0	1646858861.0	2017-04-21	6.8	3.0							
A	23.0	A.23.11	2017-04-19	2017-04-20		2017-04-20	2017-04-25	6.6	6014077086.0	2017-05-05	7.51	3.4							
A	25.0	A.25.2	2016-08-16	2016-08-17		2016-08-18	2016-08-19	6.5	4071339392.0	2016-08-25	8.3	0.2	0.02	0.22					
A	25.0	A.25.3	2016-09-14	2016-09-15		2016-09-15	2016-09-19	7.5	2653222051.0	2016-09-21	7.6	0.33							
A	25.0	A.25.4	2016-10-19	2016-10-20		2016-10-20	2016-10-24	6.4	5551207200.0	2016-10-28	7.91	3.9			0.081	6.56			
A	25.0	A.25.5	2016-11-29	2016-11-30		2016-11-30	2016-12-01	7.2	4914911142.0	2016-12-07	7.4	4.5							
A	25.0	A.25.1	2016-12-07	2016-07-14	0.0	2017-07-14	2016-07-22	6.4	2014215210.0	2016-07-28	5.74	5.57	0.04	1.57	0.3				
A	25.0	A.25.6	2016-12-22	2016-12-23		2016-12-23	2016-12-27	6.0	2709727086.0	2017-01-06	8.4	4.4							
A	25.0	A.25.7	2017-01-10	2017-01-11		2017-01-11	2017-01-14	7.0	9927933013.0	2017-02-03	9.3	5.5							
A	33.0	A.33.1	2016-07-21	2016-07-21	0.0	2016-07-22	2016-07-26	7.6	2014215210.0	2016-07-28	7.35	0.24	0.03	0.04	0.04				
A	33.0	A.33.2	2016-08-24	2016-08-25		2016-08-25	2016-08-29	6.5	4071385710.0	2016-09-05	5.86	0.41							
A	33.0	A.33.3	2016-09-26	2016-09-27		2016-09-27	2016-09-29	8.0	2261972742.0	2016-10-07	8.0	0.27							
A	33.0	A.33.4	2016-10-25	2016-10-25		2016-10-25	2016-10-27	8.0	3048134471.0	2016-11-09	7.31	0.22			0.114	6.07			
A	33.0	A.33.5	2016-11-29	2016-11-30		2016-11-30	2016-12-01	7.2	4914911142.0	2016-12-07	6.8	0.299							
A	33.0	A.33.6	2016-12-22	2016-12-23		2016-12-23	2016-12-27	6.0	2709727086.0	2017-01-06	7.7	0.29							
A	33.0	A.33.7	2017-01-10	2017-01-11		2017-01-11	2017-01-13	8.0	9927933014.0	2017-02-03	7.81	0.36							
A	33.0	A.33.8	2017-01-26	2017-01-27		2017-01-27	2017-01-31	8.0	6868917801.0	2017-02-15	8.7	0.46							
A	33.0	A.33.9	2017-03-06	2017-03-07		2017-03-07	2017-03-10	6.5	7570715110.0	2017-03-17	5.9	0.37							
A	33.0	A.33.10	2017-03-21	2017-03-22		2017-03-22	2017-03-27	7.2	4089034810.0	2017-03-31	7.5	0.29							
A	33.0	A.33.11	2017-04-18	2017-04-19		2017-04-19	2017-04-25	6.5	6014077086.0	2017-05-05	7.0	0.2							
A	43.0	A.43.1	2016-08-03	2016-08-05		2016-08-05	2016-08-08	6.5	4071273360.0	2016-08-16	8.07	0.2	0.02	0.56	0.01	6.92			
A	43.0	A.43.2	2016-09-06	2016-09-06		2016-09-07	2016-09-09	8.0	4071520051.0	2016-09-21	8.1	0.21							
A	43.0	A.43.3	2016-10-13	2016-10-14		2016-10-14	2016-10-17	8.0	2891297791.0	2016-10-21	6.3	0.17			0.071	6.38			
A	43.0	A.43.4	2016-11-15	2016-11-16		2016-11-16	2016-11-18	7.0	1917178631.0	2016-11-24	8.29	0.18							
A	43.0	A.43.5	2016-12-13	2016-12-14		2016-12-14	2016-12-15	7.4	9239998445.0	2016-12-23	8.69	0.18							
A	43.0	A.43.6	2017-01-09	2017-01-10		2017-01-10	2017-01-13	7.5	4065172263.0	2017-01-30	8.902	0.2							
A	43.0	A.43.7	2017-01-26	2017-01-27		2017-01-27	2017-01-31	8.0	6868917801.0	2017-02-15	8.8	0.26							
A	43.0	A.43.8	2017-03-02	2017-03-03		2017-03-03	2017-03-08	8.0	5483672482.0	2017-03-10	6.8	0.19							
A	43.0	A.43.9	2017-03-16	2017-03-17		2017-03-17	2017-03-22	8.0	6661436143.0	2017-03-24	8.3	0.26							
A	43.0	A.43.10	2017-03-30	2017-03-31		2017-03-31	2017-04-05	8.0	4648462092.0	2017-04-13	8.2	0.25							
A	43.0	A.43.11	2017-04-13	2017-04-13		2017-04-13	2017-04-19	7.0	1646858861.0	2017-04-21	7.0	0.21							
A	45.0	A.45.1	2016-09-06	2016-09-07		2016-09-07	2016-09-09	7.5	2653222051.0	2016-09-28	7.2	0.25			0.2	7.23			
A	53.0	A.53.1	2016-08-08	2016-08-09		2016-08-09	2016-08-11	6.5	4071273360.0	2016-08-16	7.21	0.73	0.02	0.45	0.07	7.15			
A	53.0	A.53.2	2016-09-06	2016-09-07		2016-09-07	2016-09-09	6.5	2653222051.0	2016-09-28	8.0	0.73							
A	55.0	A.55.1	2016-08-08	2016-08-09		2016-08-09	2016-08-11	5.5	4071273360.0	2016-08-16	7.65	5.3	0.02	0.57	0.26	7.65			
A	59.0	A.59.1	2016-08-24	2016-08-25		2016-08-25	2016-08-29	8.0	4071385710.0	2016-09-01	6.8	9.9			0.02	7.13			
A	59.0	A.59.2	2016-09-26	2016-09-27		2016-09-27	2016-09-29	7.5	2261972742.0	2016-10-07	7.51	10.1							
A	59.0	A.59.3	2016-10-25	2016-10-25		2016-10-25	2016-10-27	8.0	3048134471.0	2016-11-09	7.2	6.0			0.079	7.25			
A	59.0	A.59.4	2016-12-01	2016-12-02		2016-12-02	2016-12-06	7.5	5247817271.0	2016-12-16	8.01	7.6							
A	59.0	A.59.5	2016-12-22	2016-12-23		2016-12-23	2016-12-27	7.0	2709727086.0	2017-01-06	8.32	5.9							
A	59.0	A.59.6	2017-01-10	2017-01-11		2017-01-11	2017-01-14	8.0	9927933019.0	2017-02-03	7.89	4.6							
A	97.0	A.97.1	2016-12-22	2016-12-23		2016-12-23	2016-12-27	7.0	2709727086.0	2017-01-06	8.9	0.69							
A	97.0	A.97.2	2017-01-10	2017-01-11		2017-01-11	2017-01-13	8.0	9927933015.0	2017-02-03	8.91	1.101							
A	103.0	A.103.1	2017-01-09	2017-01-10		2017-01-10	2017-01-13	7.5	4065172263.0	2017-01-30	9.2	5.01							
B	27.0	B.27.1	2016-07-17	2016-07-15	0.0	2016-07-15	2016-07-22	7	2014215210.0	2016-07-28	5.98	1.67	0.02	1.5	0.05				
B	27.0	B.27.2	2016-08-30	2016-09-01		2016-09-01	2016-09-05	6	4071423425.0	2016-09-07	6.81	0.66							
B	29.0	B.29.1	2016-07-14	2016-07-15	0.0	2016-07-15	2016-07-22	7.0	2014215210.0	2016-07-28	4.88	1.04	0.02	2.92	0.09				
B	29.0	B.29.2	2016-08-23	2016-08-25		2016-08-25	2016-08-29	7.0	4071385710.0	2016-09-05	6.9	1.1			0.09	6.29			
B	29.0	B.29.3	2016-09-29	2016-09-30		2016-09-30	2016-10-04	7.5	2261972742.0	2016-10-07	6.8	1.5							
B	29.0	B.29.4	2016-10-26	2016-10-27		2016-10-27	2016-10-31	7.5	3048134471.0	2016-11-09	7.8	1.7							
B	29.0	B.29.5	2016-11-23	2016-11-24		2016-11-24	2016-11-25	8.0	5520094753.0	2016-11-30	8.41	1.6							
B	29.0	B.29.6	2016-12-19	2016-12-19		2016-12-19	2016-12-22	6.5	3358900134.0	2016-12-30	8.8	1.72							
B	29.0	B.29.7	2017-01-12	2017-01-13		2017-01-13	2017-01-18	8.0	3147625463.0	2017-02-08	9.11	1.4							
B	31.0	B.31.1	2016-07-22	2016-07-22	0.0	2016-07-22	2016-07-26	7	2014215210.0	2016-07-27	6.71	0.91	0.03	0.36	0.01				
B	31.0	B.31.2	2016-08-23	2016-08-25		2016-08-25	2016-08-29	8	4071385710.0	2016-09-01	7.16	1.4							
B	31.0	B.31.3	2016-09-19	2016-09-20		2016-09-20	2016-09-22	7.5	2653222051.0	2016-09-28	7.61	0.89							
B	31.0	B.31.4	2016-10-20	2016-10-21		2016-10-21	2016-10-24	8	5551207200.0	2016-10-28	7.0	0.71			0.047	5.56			
B	31.0	B.31.5	2016-11-24	2016-11-25		2016-11-25	2016-11-28	6	5520094753.0	2016-11-30	6.9	0.88							
B	31.0	B.31.6	2016-12-19	2016-12-19		2016-12-19	2016-12-22	6.5	3358900134.0	2016-12-30	8.3	2.5							
B	31.0	B.31.7	2017-01-16	2017-01-18		2017-01-18	2017-01-20	7,5	3147625473.0	2017-02-08	8.5	1.1							
B	39.0	B.39.1	2016-07-28	2016-07-29	0.0	2016-07-29	2016-08-02	6.5	6575808971.0	2016-08-03	7.12	1.9	0.02	2.55	0.19	6.48			
B	39.0	B.39.2	2016-08-30	2016-09-01	0.0	2016-09-01	2016-09-05	6.5	4071423425.0	2016-09-07	7.33	1.6			0.29	6.37			
B	39.0	B.39.3	2016-09-29	2016-09-30		2016-09-30	2016-10-04	7.0	2261972742.0	2016-10-07	6.0	2.62							
B	39.0	B.39.4	2016-11-24	2016-11-25		2016-11-25	2016-11-28	7.0	4914911142.0	2016-12-07	8.42	2.3							
B	39.0	B.39.5	2016-12-19	2016-12-19		2016-12-19	2016-12-22	6.0	3358900134.0	2016-12-30	8.29	3.3							
B	39.0	B.39.6	2017-01-16	2017-01-18		2017-01-18	2017-01-20	7.0	3147625474.0	2017-02-08	8.3	2.2							
B	41.0	B.41.1	2016-07-28	2016-07-29	0.0	2016-07-29	2016-08-02	6.5	6575808971.0	2016-08-03	6.15	1.2	0.02	0.25	0.24	6.4			
B	41.0	B.41.2	2016-08-23	2016-08-25		2016-08-25	2016-08-29	6.0	4071385710.0	2016-09-05	6.91	1.2							
B	41.0	B.41.3	2016-09-19	2016-09-20		2016-09-20	2016-09-22	7.0	2653222051.0	2016-09-28	7.3	1.4							
B	41.0	B.41.4	2016-10-20	2016-10-21		2016-10-21	2016-10-24	7.5	5551207200.0	2016-10-28	7.1	0.72			0.035	5.52			
B	41.0	B.41.5	2016-11-23	2016-11-24		2016-11-24	2016-11-25	8.0	5520094753.0	2016-11-30	8.19	0.85							
B	41.0	B.41.6	2016-12-15	2016-12-16		2016-12-16	2016-12-20	8.0	9239998445.0	2016-12-23	8.78	1.3			0.1	5.57			
B	41.0	B.41.7	2017-01-12	2017-01-13		2017-01-13	2017-01-18	8.0	3147625464.0	2017-02-08	8.81	1.1							
B	73.0	B.73.1	2016-09-29	2016-09-30		2016-09-30	2016-10-04	7.5	2261972742.0	2016-10-07	7.89	1.51			0.11	6.68			
B	73.0	B.73.2	2016-10-26	2016-10-27		2016-10-27	2016-10-31	6.5	3048134471.0	2016-11-09	8.1	1.4							
B	73.0	B.73.3	2016-11-22	2016-11-23		2016-11-23	2016-11-25	7.0	5520094753.0	2016-11-30	8.8	1.51			0.09	5.94			
B	73.0	B.73.4	2016-12-15	2016-12-16		2016-12-16	2016-12-20	6.5	9239998445.0	2016-12-23	7.9	1.4							
B	73.0	B.73.5	2017-01-12	2017-01-13		2017-01-13	2017-01-18	8.0	3147625465.0	2017-02-08	9.1	0.99							
B	77.0	B.77.1	2016-11-22	2016-11-23		2016-11-23	2016-11-25	7.0	5520094753.0	2016-11-30	8.81	1.0			0.059	4.76			
B	77.0	B.77.2	2016-12-15	2016-12-16		2016-12-16	2016-12-20	8.0	9239998445.0	2016-12-23	6.9	8.5			0.08	4.92			
B	77.0	B.77.3	2017-01-12	2017-01-13		2017-01-13	2017-01-18	8.0	3147625466.0	2017-02-08	8.89	0.87							
B	79.0	B.79.1	2016-11-22	2016-11-23		2016-11-23	2016-11-25	7.0	5520094753.0	2016-11-30	8.91	1.9			0.074	5.19			
B	79.0	B.79.2	2016-12-15	2016-12-16		2016-12-16	2016-12-20	7.0	9239998445.0	2016-12-23	8.51	2.4			0.08	5.4			
B	79.0	B.79.3	2017-01-12	2017-01-13		2017-01-13	2017-01-18	7.0	3147625467.0	2017-02-08	8.911	1.5							
B	81.0	B.81.1	2016-11-22	2016-11-23		2016-11-23	2016-11-25	6.5	5520094753.0	2016-11-30	8.61	4.8			0.025	5.73			
B	81.0	B.81.2	2016-12-15	2016-12-16		2016-12-16	2016-12-20	7.0	9239998445.0	2016-12-23	8.01	3.5			0.09	4.89			
B	81.0	B.81.3	2017-01-12	2017-01-13		2017-01-13	2017-01-18	8.0	3147625468.0	2017-02-08	8.3	5.0							
B	83.0	B.83.1	2016-11-24	2016-11-25		2016-11-25	2016-11-28	6.5	4914911142.0	2016-12-07	7.91	1.7			0.074	5.45			
B	83.0	B.83.2	2016-12-19	2016-12-19		2016-12-19	2016-12-22	6	3358900134.0	2016-12-30	8.51	1.71							
B	83.0	B.83.3	2017-01-16	2017-01-18		2017-01-18	2017-01-20	7,6	3147625475.0	2017-02-08	8.4	1.4							
B	85.0	B.85.1	2016-10-14	2016-10-14		2016-10-14	2016-10-18	7.8	1280374944.0	2016-10-24	8.0	1.6			0.068	6.9			
B	85.0	B.85.2	2016-11-24	2016-11-25		2016-11-25	2016-11-28	7.0	4914911142.0	2016-12-07	7.89	1.5							
B	85.0	B.85.3	2016-12-19	2016-12-19		2016-12-19	2016-12-22	6.0	3358900134.0	2016-12-30	8.1	2.0							
B	85.0	B.85.4	2017-01-17	2017-01-18		2017-01-18	2017-01-20	7.0	6868917801.0	2017-02-15	7.0	1.9							
B	95.0	B.95.1	2016-12-19	2016-12-19		2016-12-19	2016-12-22	6.0	3358900134.0	2016-12-30	7.2	1.5							
B	95.0	B.95.2	2017-01-17	2017-01-18		2017-01-18	2017-01-20	8.0	6868917801.0	2017-02-15	8.29	1.7							
C	35.0	C.35.1	2016-07-27	2016-07-29		2016-07-29	2016-02-08	6.5	6575808971.0	2016-08-03	6.87	1.5	0.02	0.42	0.25				
C	35.0	C.35.2	2016-08-23	2016-08-25		2016-08-25	2016-08-29	6	4071385710.0	2016-09-05	7.55	0.8			0.18	6.75			
C	35.0	C.35.3	2016-09-29	2016-09-30		2016-09-30	2016-09-04	7.5	2261972742.0	2016-10-07	7.21	0.98							
C	35.0	C.35.4	2016-10-26	2016-10-27		2016-10-27	2016-10-31	7	3048134471.0	2016-11-09	7.5	0.93							
C	35.0	C.35.5	2016-11-23	2016-11-24		2016-11-24	2016-11-28	7	4914911142.0	2016-12-07	8.5	1.2							
C	35.0	C.35.6	2016-12-20	2016-12-21		2016-12-21	2016-12-23	6.5	3358900134.0	2016-12-30	8.31	0.7							
C	35.0	C.35.7	2017-01-16	2017-01-18		2017-01-18	2017-01-20	7,5	3147625469.0	2017-02-08	7.7	1.2							
C	37.0	C.37.1	2016-07-27	2016-07-29		2016-07-29	2016-08-02	6.5	6575808971.0	2016-08-03	7.49	0.53	0.02	0.51	0.31	6.7			
C	37.0	C.37.2	2016-09-19	2016-09-20		2016-09-20	2016-09-22	7.0	2653222051.0	2016-09-28	7.59	0.36							
C	37.0	C.37.3	2016-10-26	2016-10-27		2016-10-27	2016-10-31	7.0	3048134471.0	2016-11-09	7.38	0.32			0.066	5.77			
C	37.0	C.37.4	2016-11-28	2016-11-29		2016-11-29	2016-12-01	7.0	4914911142.0	2016-12-07	8.2	0.401							
C	75.0	C.75.1	2016-10-10	2016-10-10		2016-10-10	2016-10-13	6.2	9237179092.0	2016-10-18	8.18	1.9			0.079	5.11			
C	75.0	C.75.2	2016-11-23	2016-11-24		2016-11-24	2016-11-25	7.5	5520094753.0	2016-11-30	8.0	1.8							
C	75.0	C.75.3	2016-12-20	2016-12-21		2016-12-21	2016-12-23	6.5	3358900134.0	2016-12-30	7.89	1.8							
C	75.0	C.75.4	2017-01-16	2017-01-18		2017-01-18	2017-01-20	8.0	9927933024.0	2017-02-03	8.302	2.21							
