"lon","lat","fnum","lat","lon","elev","zone"
586958.344801696,-259434.253446825,"1",-2.34695,-80.2179,40.1256446838379,2
584910.745778807,-262454.561689724,"3",-2.374283,-80.2363,15.4387540817261,2
586651.963509247,-260511.869021599,"5",-2.3567,-80.22065,38.7838706970215,2
580026.916137926,-260416.224461107,"7",-2.355867,-80.280233,51.1653823852539,2
580375.34685723,-274272.704250095,"9",-2.481217,-80.277033,35.7530097961426,2
588567.177205851,-262184.026012206,"11",-2.371817,-80.203417,17.2011184692383,2
602215.705718182,-254284.671623297,"13",-2.300283,-80.080717,47.9158973693848,2
602108.884940304,-253352.367419797,"15",-2.29185,-80.081683,44.9340705871582,2
572822.293180701,-242993.482718142,"17",-2.198283,-80.3451,129.93180847168,2
583213.207548014,-244813.118342863,"19",-2.2147,-80.25165,120.469497680664,2
587004.346029755,-256694.710186097,"23",-2.322167,-80.2175,48.0622024536133,2
590478.463940896,-254666.326457174,"25",-2.3038,-80.186267,44.3881072998047,2
580169.37076991,-264430.696436394,"33",-2.392183,-80.278933,37.5851593017578,2
588051.574397548,-266251.698142521,"43",-2.408617,-80.208033,20.0488319396973,2
584775.907147148,-265000.707656703,"53",-2.397317,-80.2375,9.94807529449463,2
591374.765916695,-255919.627896619,"59",-2.315133,-80.1782,45.492317199707,2
578209.118947729,-260094.729500371,"97",-2.352967,-80.296583,45.7407646179199,2
649739.258655102,-293756.52287664,"27",-2.65695,-79.653017,10.4457807540894,4
650759.14568929,-298211.473690003,"29",-2.697233,-79.6438,20.4908275604248,4
665286.478080982,-285203.307311939,"31",-2.579433,-79.513283,32.1821327209473,4
662711.520367106,-290575.839179706,"39",-2.62805,-79.536383,34.7630348205566,4
643048.816394907,-308400.555576144,"41",-2.789467,-79.71305,16.3746814727783,4
643170.467647911,-307254.504939325,"73",-2.7791,-79.711967,13.8108777999878,4
641013.803055743,-301949.608569164,"77",-2.731139,-79.731417,2.66791367530823,4
641862.017179789,-302430.779697546,"79",-2.735483,-79.723783,1.24204695224762,4
643481.245521093,-304347.093076475,"81",-2.7528,-79.7092,8.28071689605713,4
660348.323681258,-277649.624616159,"83",-2.511167,-79.557767,21.7081413269043,4
664946.936340365,-288656.443251127,"85",-2.610667,-79.5163,66.9491806030273,4
651426.397261704,-286212.391309919,"95",-2.5887,-79.637917,2.45755577087402,4
688274.001987317,-263936.05417052,"35",-2.38685,-79.306817,71.0353393554688,4
